"","Year.opened","Rides","System.length","Stations","Population","Systems","Country","RidePerPop","continent"
"Adana",2009,1.4e+07,13.5,13,1249680,"Adana Metro","Turkey",11.2028679341912,"Europe"
"Algiers",2011,1.3e+07,9.2,10,1980242,"Algiers Metro","Algeria",6.56485419458834,"Africa"
"Almaty",2011,7e+06,8.5,7,1204820,"Almaty Metro","Kazakhstan",5.80999651400209,"Asia"
"Amsterdam",1977,107700000,32.7,33,745811,"Amsterdam Metro","Netherlands",144.406558766229,"Europe"
"Ankara",1997,94400000,23.4,23,3519177,"Ankara Metro","Turkey",26.8244535583178,"Europe"
"Hiroshima",1994,18500000,18.4,21,1143850,"Astram Line","Japan",16.1734493159068,"Asia"
"Athens",1904,4.07e+08,79.6,61,729139,"Athens Metro","Greece",558.192607993812,"Europe"
"Baku",1967,195600000,34.6,23,1116513,"Baku Metro","Azerbaijan",175.188287104584,"Asia"
"Baltimore",1983,14600000,24.9,14,610892,"Baltimore Metro Subway","United States",23.8994781401623,"North America"
"Barcelona",1924,448500000,125,166,1570378,"Barcelona Metro","Spain",285.6000275093,"Europe"
"San Francisco Bay Area",1972,117800000,167,44,7150000,"BART","United States",16.4755244755245,"North America"
"Beijing",1971,3.209e+09,456,270,20693000,"Beijing Subway","China",155.076595950321,"Asia"
"Belo Horizonte",1986,57400000,28.1,19,2373255,"Belo Horizonte Metro","Brazil",24.1861915386252,"South America"
"Berlin",1902,902300000,483.7,336,3398362,"Berlin S-Bahn / Berlin U-Bahn","Germany",265.510266416585,"Europe"
"Bilbao",1995,87600000,43.31,41,349270,"Bilbao Metro","Spain",250.808829845105,"Europe"
"Brasília",2001,54750000,42.4,24,2207812,"Brasília Metro","Brazil",24.7983071022352,"South America"
"Brussels",1976,132400000,39.9,59,1019022,"Brussels Metro","Belgium",129.928500071637,"Europe"
"Bucharest",1979,172600000,69.3,51,1877155,"Bucharest Metro","Romania",91.9476548287169,"Europe"
"Budapest",1896,302400000,30.8,42,1708088,"Budapest Metro","Hungary",177.040058826009,"Europe"
"Buenos Aires",1913,3.1e+08,47.1,68,2890151,"Subterráneo de Buenos Aires","Argentina",107.260831700489,"South America"
"Bursa",2002,91250000,31,31,1413485,"Bursa Metro","Turkey",64.5567515750079,"Europe"
"Busan",1985,320400000,130.2,128,3590101,"Busan Subway","South Korea",89.2454000597755,"Asia"
"Cairo",1987,8.37e+08,69.8,60,7734602,"Cairo Metro","Egypt",108.215005762417,"Africa"
"Caracas",1983,484600000,54.2,47,1815681,"Caracas Metro","Venezuela",266.897103621176,"South America"
"Catania",1999,4100000,3.8,6,307331,"Catania Metro","Italy",13.3406652762006,"Europe"
"Chengdu",2010,1.03e+08,49.7,42,3950437,"Chengdu Metro","China",26.0730648280178,"Asia"
